Hotel/Resort Name,Type of Residence,Area,Rating,Rating,Reviews,Booking website 1,Booking website 1_Price,Booking website 2,Booking website 2 -Price,Booking website 3,Booking website 3 -Price,Cancellation Details,Breakfast Provision,Payement option,Discount
Hotel Quality Inn Payson,Hotel,Payson,8.1,     Very good  ,1775,Hotels.com,9780,Booking.com,11444,Trip.com,9390,Free cancellation,Breakfast included,Pay at the property,
La Quinta Inn & Suites Granbury,Hotel,Granbury,8.1,     Very good  ,1324,Booking.com,11380,Hotels.com,11380,ZenHotels.com,11379,Free cancellation,Breakfast included,Breakfast included,
Holiday Inn Riverton-Convention Center,Hotel,Riverton,8.6,     Excellent  ,2027,Booking.com,14420,Holiday Inn,14420,ZenHotels.com,14418,Free cancellation,Breakfast included,Pay at the property,
Hotel MTK Mount Kisco,Hotel,Mount Kisco,8,     Very good  ,2119,Hotels.com,19073,Hilton,19077,ZenHotels.com,19072,Free cancellation,Breakfast included,Pay at the property,Lower than hotel site
Holiday Inn Express Hurricane Mills Waverly,Hotel,Hurricane Mills,8.7,     Excellent  ,759,Booking.com,13921,Holiday Inn Express,13983,Agoda,13920,Free cancellation,Breakfast included,,Lower than hotel site
Holiday Inn Express Tiffin,Hotel,Tiffin,8.4,     Very good  ,813,Booking.com,13788,Holiday Inn Express,13788,Agoda,13423,Free cancellation,Breakfast included,,
Fairfield Inn And Suites By Marriott Morganton Historic Downtown,Hotel,Morganton,9,     Excellent  ,439,Booking.com,16329,Fairfield Inn,16328,Hotels.com,16328,Free cancellation,Breakfast included,Breakfast included,
Comfort Inn and Suites,Hotel,Sikeston,8.2,     Very good  ,424,Booking.com,10000,Hotels.com,9999,Trip.com,9669,Free cancellation,Breakfast included,,
Holiday Inn Express & Suites Shelbyville,Hotel,Shelbyville,8,     Very good  ,1225,Booking.com,9593,Holiday Inn Express,9587,Holiday Inn Express,9587,Free cancellation,Breakfast included,,
Holiday Inn Express & Suites New Boston,Hotel,New Boston,9,     Excellent  ,917,Booking.com,13073,Holiday Inn Express,13073,ZenHotels.com,13072,Free cancellation,Breakfast included,Breakfast included,
My Place Hotel-Kalispell  MT,,Kalispell,9,     Excellent  ,2370,Booking.com,9066,Hotels.com,9065,Trip.com,8521,Free cancellation,Breakfast included,Pay at the property,44%
Doubletree By Hilton Hotel Lawrence,Hotel,Lawrence,6.9 ,     ,52,Booking.com,12133,Doubletree US,12133,Priceline,12105,Free cancellation,Breakfast included,Pay at the property,
Hotel Drury Inn & Suites Middletown,Hotel,Middletown,9.3,     Excellent  ,2606,Booking.com,11360,Hotels.com,10224,Trip.com,9742,Free cancellation,Breakfast included,Breakfast included,
Best Western Ramkota,Hotel,Aberdeen,7.6,     Good  ,1869,Booking.com,12867,Trip.com,11567,ZenHotels.com,11563,Free cancellation,Breakfast included,Breakfast included,
Comfort Inn Hillsville,Hotel,Hillsville,8.8,     Excellent  ,2346,Booking.com,9394,Hotels.com,9419,Trip.com,9167,Free cancellation,Breakfast included,,
Wind Creek Casino Wetumpka,,Wetumpka,9,     Excellent  ,1812,Hotels.com,15058,Trip.com,14569,Trip.com,14569,Free cancellation,Breakfast included,,
Comfort Inn Las Vegas,Hotel,Las Vegas,7.6,     Good  ,1990,Booking.com,10870,Hotels.com,9230,Priceline,9187,Free cancellation,Breakfast included,Breakfast included,
Microtel Inn & Suites Bushnell,Hotel,Bushnell,7.4 ,     ,1663,Booking.com,8376,Microtel,8375,ZenHotels.com,8277,Free cancellation,Breakfast included,Pay at the property,
Quality Inn Gallatin,Hotel,Gallatin,8.2,     Very good  ,1272,Booking.com,9886,Trip.com,7767,Trip.com,7767,Free cancellation,Breakfast included,Breakfast included,
Best Western Bastrop Pines Inn,Hotel,Bastrop,8.2,     Very good  ,1699,Booking.com,11360,Hotels.com,11360,,,Free cancellation,Breakfast included,,Our lowest price
Comfort Inn & Suites Tunkhannock,Hotel,Tunkhannock,8.9,     Excellent  ,563,Booking.com,14883,Hotels.com,14883,,,Free cancellation,Breakfast included,,Our lowest price
Tru by Hilton Shepherdsville Louisville South  KY,,Shepherdsville,9.1,     Excellent  ,1387,Booking.com,13847,Tru by Hilton,13841,Tru by Hilton,13841,Free cancellation,Breakfast included,Breakfast included,
La Quinta Inn & Suites Deming,Hotel,Deming,7.9,     Good  ,2545,Booking.com,9237,Hotels.com,9237,Priceline,9181,Free cancellation,Breakfast included,Breakfast included,
Best Western Liberty Inn,Hotel,Delano,8,     Very good  ,1553,Booking.com,10895,Hotels.com,10895,ZenHotels.com,10894,Free cancellation,Breakfast included,Breakfast included,
Courtyard Kokomo,Hotel,Kokomo,8.3,     Very good  ,748,Booking.com,14740,Courtyard,14740,ZenHotels.com,14738,Free cancellation,Breakfast included,Pay at the property,
Hotel Clarion Inn & Suites,Hotel,Craig,7.7,     Good  ,2327,Booking.com,14838,Hotels.com,14851,Trip.com,13293,Free cancellation,Breakfast included,Breakfast included,
Holiday Inn Express & Suites La Porte,Hotel,La Porte,9,     Excellent  ,1066,Booking.com,14356,Holiday Inn Express,14356,Agoda,14355,Free cancellation,Breakfast included,Breakfast included,
Hotel Grinnell,Hotel,Grinnell,9.2,     Excellent  ,717,Hotels.com,16779,,,,,Free cancellation,Breakfast included,,Our lowest price
Country Inn & Suites By Radisson  Oklahoma City-bricktown  Ok,,Oklahoma City,8.5,     Excellent  ,1760,Booking.com,7054,Trip.com,6456,Trip.com,6456,Free cancellation,Breakfast included,Breakfast included,
Comfort Inn & Suites Lovington,,Lovington,8.8,     Excellent  ,972,Booking.com,7522,Hotels.com,7505,Trip.com,6719,Free cancellation,Breakfast included,,
Four Points by Sheraton Pleasanton,Hotel,Pleasanton,7.6,     Good  ,2671,Booking.com,15121,Four Points,12740,Four Points,12740,Free cancellation,Breakfast included,,
Hotel Evangeline Downs,Hotel,Opelousas,8.1,     Very good  ,1300,Booking.com,10783,Hotels.com,10916,Trip.com,8885,Free cancellation,Breakfast included,,
Carmel Inn and Suites,Hotel,Thibodaux,8.2,     Very good  ,2035,Booking.com,6017,Hotels.com,7719,Trip.com,5990,Free cancellation,Breakfast included,Breakfast included,
Best Western Plus Centralia  & Suites,,Centralia,9.3,     Excellent  ,932,Hotels.com,12491,Booking.com,12491,ZenHotels.com,12490,Free cancellation,Breakfast included,Breakfast included,
Candlewood Suites Manhattan,Hotel,Manhattan,8.8,     Excellent  ,1492,Booking.com,11049,Candlewood Suites,11115,,,Free cancellation,Breakfast included,Pay at the property,Our lowest price
La Quinta Inn Tehachapi,Hotel,Tehachapi,7.5,     Good  ,1586,Booking.com,11236,Hotels.com,11236,Destinia,9540,Free cancellation,Breakfast included,Breakfast included,
Econo Lodge Lenoir City,Hotel,Lenoir City,8.7,     Excellent  ,2092,Booking.com,8710,Hotels.com,8419,Trip.com,8416,Free cancellation,Breakfast included,Breakfast included,
Hampton Inn Decatur Mt Zion,,Decatur,9.1,     Excellent  ,1115,Booking.com,11547,Hampton Inn,11548,,,Free cancellation,Breakfast included,,Our lowest price
Embassy Suites Amarillo Downtown,,Amarillo,8.5,     Excellent  ,3134,Booking.com,15470,Embassy,15305,Agoda,15305,Free cancellation,Breakfast included,Breakfast included,
Ramada Limited Lebec,Hotel,Lebec,8.5,     Excellent  ,2434,Booking.com,9550,Trip.com,8304,Trip.com,8304,Free cancellation,Breakfast included,Breakfast included,
Quality Inn Newton,Hotel,Newton,6.6 ,     ,559,Hotels.com,6427,Booking.com,6427,Trip.com,5978,Free cancellation,Breakfast included,Breakfast included,37%
Sierra Suites,Hotel,Sierra Vista,8.7,     Excellent  ,2606,Booking.com,9918,Hotels.com,9918,,,Free cancellation,Breakfast included,,Our lowest price
Marriott Houston Energy Corridor,Hotel,Spring Valley,8.4,     Very good  ,1774,Hotels.com,14061,Marriott Hotels,14062,ZenHotels.com,14060,Free cancellation,Breakfast included,,Lower than hotel site
Days Inn Victoria,Hotel,Victoria,8.3,     Very good  ,2315,Booking.com,6490,DaysInn,5516,Hotels.com,5516,Free cancellation,Breakfast included,Breakfast included,
Hampton Inn Elko  NV,,Elko,9.1,     Excellent  ,1483,Booking.com,16656,Hampton Inn,16658,,,Free cancellation,Breakfast included,,Our lowest price
Sleep Inn Wytheville,Hotel,Wytheville,8.6,     Excellent  ,2658,Booking.com,9430,Hotels.com,8015,Trip.com,7869,Free cancellation,Breakfast included,Breakfast included,
Best Western Resort Hotel & Conference Center,,Portage,8.1,     Very good  ,1498,Booking.com,9279,Hotels.com,9279,ZenHotels.com,9278,Free cancellation,Breakfast included,Breakfast included,
Home2 Suites By Hilton Phoenix Avondale,,Avondale,8.9,     Excellent  ,596,Booking.com,23523,Trip.com,23528,Agoda,23522,Free cancellation,Breakfast included,Breakfast included,
Country Inn & Suites By Carlson Effingham,Hotel,Effingham,8.7,     Excellent  ,2584,Booking.com,10843,Hotels.com,10842,Hotels.com,10842,Free cancellation,Breakfast included,Breakfast included,
Holiday Inn Express Villa Rica,Hotel,Villa Rica,8.5,     Excellent  ,822,Holiday Inn Express,11691,Booking.com,12185,,,Free cancellation,Breakfast included,Pay at the property,Our lowest price
Hillsboro Inn Express,Hotel,Hillsboro,8.6,     Excellent  ,846,Holiday Inn Express,9739,Booking.com,10633,,,Free cancellation,Breakfast included,Pay at the property,Our lowest price
Holiday Inn Chicago Nw Crystal Lk Conv Ctr,Hotel,Crystal Lake,7.8,     Good  ,3556,Holiday Inn,8761,Hotels.com,8761,Agoda,8760,Free cancellation,Breakfast included,,18%
Hampton Inn Hartwell Ga,,Hartwell,8.8,     Excellent  ,657,Booking.com,15432,Hampton Inn,15850,,,Free cancellation,Breakfast included,,Our lowest price
Holiday Inn Conference Ctr Marshfield,Hotel,Marshfield,8.3,     Very good  ,1818,Holiday Inn,12092,Booking.com,13652,,,Free cancellation,Breakfast included,,Our lowest price
Hotel IP Casino Resort & Spa,Resort,Biloxi,8.2,     Very good  ,8600,Hotels.com,7659,Trip.com,7719,lol.travel,6628,Free cancellation,Breakfast included,,
Country Inn & Suites by Radisson  Red Wing  MN,Hotel,Red Wing,8.5,     Excellent  ,2073,Booking.com,11140,Hotels.com,11140,,,Free cancellation,Breakfast included,,Our lowest price
Comfort Suites Inn at Ridgewood Farm,Hotel,Salem,8.2,     Very good  ,2586,Booking.com,8044,Hotels.com,7973,Trip.com,6691,Free cancellation,Breakfast included,,
Hershey Farm Inn,Hotel,Ronks,8.6,     Excellent  ,2396,Booking.com,12718,Hotel site,11920,Hotels.com,11517,Free cancellation,Breakfast included,Breakfast included,15%
Holiday Inn Express & Suites Tyler South,Hotel,Tyler,8.4,     Very good  ,1878,Booking.com,10433,Holiday Inn Express,10524,,,Free cancellation,Breakfast included,,Our lowest price
Celilo Inn,Hotel,The Dalles,8.9,     Excellent  ,2591,Booking.com,9961,Hotels.com,9934,Hotels.com,9934,Free cancellation,Breakfast included,Pay at the property,
Hampton Inn Waterbury,Hotel,Waterbury,8.1,     Very good  ,2365,Booking.com,11293,Hampton Inn,11289,Hampton Inn,11289,Free cancellation,Breakfast included,Breakfast included,
Home2 Suites by Hilton Muskogee,,Muskogee,9.4,     Excellent  ,676,Booking.com,13302,Home2,10908,Hotels.com,10907,Free cancellation,Breakfast included,Breakfast included,
Days Inn and Suites Camp Verde,Hotel,Camp Verde,8.2,     Very good  ,2603,Booking.com,9993,Trip.com,9993,Hotels.com,9991,Free cancellation,Breakfast included,Breakfast included,
Best Western Plus Coalinga Inn & Suites,,Coalinga,8.9,     Excellent  ,1220,Booking.com,14938,Hotels.com,14910,Hotels.com,14910,Free cancellation,Breakfast included,Breakfast included,
New Victorian Inn & Suites - Sioux City,Hotel,Sioux City,8.6,     Excellent  ,2641,Booking.com,8319,Hotels.com,8319,Trip.com,7370,Free cancellation,Breakfast included,Breakfast included,10%
Hampton Inn Marquette Waterfront,Hotel,Marquette,9,     Excellent  ,1316,Booking.com,16718,Hampton Inn,16300,Hotels.com,16298,Free cancellation,Breakfast included,Breakfast included,19%
Hampton Inn Caryville-I-75/Cove Lake-State Park,Hotel,Caryville,9.2,     Excellent  ,2231,Booking.com,13587,Hampton Inn,13588,Hotels.com,13586,Free cancellation,Breakfast included,,Lower than hotel site
Comfort Suites Springfield,Hotel,Springfield,8,     Very good  ,2673,Booking.com,8959,Hotels.com,8959,ZenHotels.com,8957,Free cancellation,Breakfast included,,
Ramada Sioux Falls Airport Hotel & Suites,Hotel,Sioux Falls,7.2 ,     ,2899,Booking.com,5956,Hotels.com,6175,,,Free cancellation,Breakfast included,Pay at the property,33%
Quality Inn & Suites Jamestown,Hotel,Jamestown,7.7,     Good  ,937,Booking.com,11952,Hotels.com,12007,,,Free cancellation,Breakfast included,,Our lowest price
Fairfield Inn & Suites Rolla,,Rolla,9.3,     Excellent  ,560,Hotels.com,12795,Fairfield Inn,12795,Agoda,12788,Free cancellation,Breakfast included,Breakfast included,
Holiday Inn Express & Suites Newberry,Hotel,Newberry,8.8,     Excellent  ,1064,Booking.com,13636,Holiday Inn Express,12389,Holiday Inn Express,12389,Free cancellation,Breakfast included,,
Cedar Street Hotel & Suites,Hotel,Sandpoint,8.4,     Very good  ,1356,Booking.com,12641,Trip.com,12643,ZenHotels.com,12639,Free cancellation,Breakfast included,Breakfast included,
Motel 6 Pendleton,Hotel,Pendleton,7.9,     Good  ,2547,Booking.com,7805,Hotels.com,7805,ZenHotels.com,7804,Free cancellation,Breakfast included,Pay at the property,
Sleep Inn & Suites Middletown - Goshen,,Middletown,8.6,     Excellent  ,1818,Booking.com,13987,Hotels.com,13987,Agoda,12585,Free cancellation,Breakfast included,Breakfast included,
Country Inn & Suites by Radisson  Princeton  WV,Hotel,Princeton,8.2,     Very good  ,2530,Booking.com,10427,Hotels.com,10427,Trip.com,10193,Free cancellation,Breakfast included,Breakfast included,
Country Inn & Suites by Radisson  Northfield  MN,Hotel,Northfield,7.7,     Good  ,1331,Booking.com,10663,Hotels.com,10662,Trip.com,10391,Free cancellation,Breakfast included,Breakfast included,28%
Holiday Inn Alexandria,Hotel,Alexandria,7.8,     Good  ,2086,Booking.com,9922,Holiday Inn,9922,Hotels.com,9921,Free cancellation,Breakfast included,,26%
Holiday Inn Express & Suites Bastrop,Hotel,Bastrop,8.3,     Very good  ,1286,Booking.com,12781,Holiday Inn Express,11503,Holiday Inn Express,11503,Free cancellation,Breakfast included,Breakfast included,
Hilton Garden Inn Oconomowoc,Hotel,Oconomowoc,8.8,     Excellent  ,1435,Booking.com,14014,Garden Inn,14015,Priceline,13766,Free cancellation,Breakfast included,Pay at the property,Lower than hotel site
Hotel La Quinta Inn & Suites Twin Falls,Hotel,Twin Falls,9,     Excellent  ,2701,Booking.com,10697,Hotels.com,9627,ZenHotels.com,9626,Free cancellation,Breakfast included,Breakfast included,17%
Sleep Inn & Suites,,Gallatin,8.6,     Excellent  ,510,Booking.com,9709,Hotels.com,8738,Trip.com,8219,Free cancellation,Breakfast included,Breakfast included,
3 Peaks Resort & Beach Club,Resort,South Lake Tahoe,8,     Very good  ,3977,Hotels.com,4607,Trip.com,4831,,,Free cancellation,Breakfast included,,47%
Holiday Inn Express & Suites Morrilton,Hotel,Morrilton,8.4,     Very good  ,834,Booking.com,10184,Holiday Inn Express,10183,Hotels.com,9684,Free cancellation,Breakfast included,Breakfast included,
Drury Inn Paducah,Hotel,Paducah,9,     Excellent  ,2570,Hotels.com,9694,Booking.com,10749,Trip.com,9238,Free cancellation,Breakfast included,Pay at the property,
Chrysalis Inn & Spa Bellingham Curio Collection by Hilton,Hotel,Bellingham,8.9,     Excellent  ,1352,Booking.com,19598,Curio Collection,19230,Agoda,19211,Free cancellation,Breakfast included,Pay at the property,17%
Americas Best Value Gold Country Inn & Casino,Hotel,Elko,8.2,     Very good  ,2667,Booking.com,7384,Hotels.com,7384,,,Free cancellation,Breakfast included,Pay at the property,Our lowest price
Kahler Inn & Suites,Hotel,Rochester,7.4 ,     ,2833,Booking.com,10952,Trip.com,10943,Trip.com,10943,Free cancellation,Breakfast included,Pay at the property,
Hampton Inn & Suites Olean,,Olean,9.2,     Excellent  ,367,Booking.com,14941,Hotels.com,14940,Hotels.com,14940,Free cancellation,Breakfast included,Breakfast included,
Home2 Suites By Hilton Meridian,,Meridian,8.6,     Excellent  ,1008,Booking.com,12508,Home2,12509,Hotels.com,11051,Free cancellation,Breakfast included,,Lower than hotel site
Wallace Inn,Hotel,Wallace,8.4,     Very good  ,2564,Booking.com,9138,Trip.com,8427,Trip.com,8427,Free cancellation,Breakfast included,Pay at the property,36%
Quality Inn Payson,Hotel,Payson,7.8,     Good  ,2623,Booking.com,10341,Trip.com,9844,Trip.com,9844,Free cancellation,Breakfast included,Breakfast included,
Vib Best Western Tempe,,Tempe,8.7,     Excellent  ,239,Booking.com,12251,Hotels.com,12247,Hotels.com,12247,Free cancellation,,Pay at the property,
La Quinta Inn & Suites Denison - North Lake Texoma,Hotel,Denison,8,     Very good  ,2599,Booking.com,8653,Hotels.com,8653,ZenHotels.com,8651,Free cancellation,Breakfast included,Breakfast included,
Scholar Morgantown - Tapestry Collection by Hilton,Hotel,Morgantown,8.4,     Very good  ,2571,Booking.com,10521,Tapestry Collection,10521,Priceline,10460,Free cancellation,Breakfast included,Pay at the property,
Super 8 Susanville,Hotel,Susanville,7.9,     Good  ,2561,Booking.com,10071,Hotels.com,10071,ZenHotels.com,10070,Free cancellation,Breakfast included,Breakfast included,
America's Best Value Inn & Suites Cheyenne,Hotel,Cheyenne,8.2,     Very good  ,2725,Booking.com,6113,Hotels.com,6113,,,Free cancellation,Breakfast included,Breakfast included,16%
Courtyard Middletown Goshen,Hotel,Middletown,8.6,     Excellent  ,1747,Booking.com,12892,Hotels.com,12892,Agoda,12891,Free cancellation,Breakfast included,,
Super 8 By Wyndham Hays Ks,,Hays,8,     Very good  ,2039,Hotels.com,4846,Super 8,4790,Agoda,4789,Free cancellation,Breakfast included,Breakfast included,
Best Western Jacksonville Inn,Hotel,Jacksonville,8.3,     Very good  ,1292,Booking.com,7115,Hotels.com,7115,ZenHotels.com,7114,Free cancellation,Breakfast included,Breakfast included,
La Quinta Inn & Suites By Wyndham Fort Stockton Northeast,,Fort Stockton,9.2,     Excellent  ,2191,Booking.com,10275,Hotels.com,10275,Destinia,9012,Free cancellation,Breakfast included,Breakfast included,
Days Inn Ennis,Hotel,Ennis,7.5,     Good  ,1358,Booking.com,7026,DaysInn,7025,Agoda,7025,Free cancellation,Breakfast included,Breakfast included,27%
Fairfield Inn & Suites Knoxville Clinton,,Clinton,8.7,     Excellent  ,150,Hotels.com,12152,Fairfield Inn,10682,Trip.com,9973,Free cancellation,Breakfast included,Breakfast included,
Motel 6 Laramie,Hotel,Laramie,6.8 ,     ,1930,Booking.com,6583,Hotels.com,6583,,,Free cancellation,Breakfast included,Pay at the property,Our lowest price
Hampton Inn Martin  TN,Hotel,Martin,8.8,     Excellent  ,1230,Booking.com,12389,Hampton Inn,12822,,,Free cancellation,Breakfast included,,Our lowest price
Holiday Inn Express & Suites Ogallala,Hotel,Ogallala,9.1,     Excellent  ,1479,Booking.com,15023,Holiday Inn Express,15023,Priceline,14955,Free cancellation,Breakfast included,Breakfast included,
La Quinta Inn & Suites Tucumcari,Hotel,Tucumcari,8.2,     Very good  ,2573,Booking.com,12241,Hotels.com,12240,Priceline,12192,Free cancellation,Breakfast included,Breakfast included,
Microtel Inn & Suites By Wyndham Windham,,Windham,8.8,     Excellent  ,2530,Hotels.com,12166,Booking.com,13518,ZenHotels.com,12164,Free cancellation,Breakfast included,Breakfast included,25%
La Quinta Inn & Suites Sulphur Springs,Hotel,Sulphur Springs,8.7,     Excellent  ,2605,Booking.com,9476,Hotels.com,9476,ZenHotels.com,9474,Free cancellation,Breakfast included,Breakfast included,
Hilton Garden Inn Camden Waterfront,,Camden,8.9,     Excellent  ,2062,Hotels.com,23651,Trip.com,23656,,,Free cancellation,Breakfast included,,Our lowest price
Best Western Plus Coldwater Hotel,Hotel,Coldwater,7.8,     Good  ,1849,Hotels.com,8560,Booking.com,8560,ZenHotels.com,8559,Free cancellation,Breakfast included,,19%
Super 8 Motel - Walla Walla,Hotel,Walla Walla,7.6,     Good  ,2583,Booking.com,6376,Super 8,6376,,,Free cancellation,Breakfast included,Breakfast included,17%
Holiday Inn Express & Suites Tooele,Hotel,Tooele,8.6,     Excellent  ,612,Booking.com,15729,Holiday Inn Express,15834,,,Free cancellation,Breakfast included,,Our lowest price
Hampton Inn Princeton,Hotel,Princeton,8.6,     Excellent  ,1744,Booking.com,12166,Hampton Inn,12060,Hotels.com,12058,Free cancellation,Breakfast included,Breakfast included,
Holiday Inn Express & Suites Vermillion,Hotel,Vermillion,8.2,     Very good  ,601,Booking.com,11870,Holiday Inn Express,11869,Hotels.com,11837,Free cancellation,Breakfast included,Breakfast included,
Embassy Suites by Hilton Milwaukee Brookfield,Hotel,Brookfield,8.5,     Excellent  ,2598,Booking.com,13476,Embassy,13465,Hotels.com,13464,Free cancellation,Breakfast included,Breakfast included,
Holiday Inn Express & Suites Lander,Hotel,Lander,9.1,     Excellent  ,1357,Booking.com,13015,Holiday Inn Express,13594,,,Free cancellation,Breakfast included,Breakfast included,24%
Holiday Inn Express Monticello,Hotel,Monticello,8.5,     Excellent  ,826,Booking.com,14581,Hotels.com,14612,Priceline,14560,Free cancellation,Breakfast included,Breakfast included,
Hampton Inn Lawrence,Hotel,Lawrence,9.1,     Excellent  ,2262,Booking.com,11192,Hampton Inn,11192,Hotels.com,11191,Free cancellation,Breakfast included,Breakfast included,13%
Tremont Hotel,,Bronx,6.8 ,     ,137,Booking.com,19688,Hotels.com,18437,Hotels.com,18437,Free cancellation,Breakfast included,Pay at the property,
Super 8 Pocatello,Hotel,Pocatello,8,     Very good  ,2640,Booking.com,6772,Super 8,7524,,,Free cancellation,Breakfast included,Breakfast included,17%
Hampton Inn Bowling Green,Hotel,Bowling Green,8.5,     Excellent  ,1810,Booking.com,9957,Hampton Inn,9806,Hampton Inn,9806,Free cancellation,Breakfast included,Breakfast included,10%
Country Inn & Suites by Radisson  Covington  LA,Hotel,Covington,9,     Excellent  ,2625,Booking.com,8615,Hotels.com,8614,Trip.com,8155,Free cancellation,Breakfast included,Breakfast included,
Holiday Inn Express & Suites Chowchilla - Yosemite Pk Area,Hotel,Chowchilla,8.4,     Very good  ,1481,Booking.com,15449,Holiday Inn Express,15448,ZenHotels.com,14945,Free cancellation,Breakfast included,Breakfast included,
Best Western Plus Inn Winslow,Hotel,Winslow,8.7,     Excellent  ,2665,Booking.com,12939,Trip.com,12941,,,Free cancellation,Breakfast included,,Our lowest price
Comfort Suites,,Grand Island,9.4,     Excellent  ,514,Booking.com,12378,Hotels.com,12351,Trip.com,11928,Free cancellation,Breakfast included,,
Home2 Suites By Hilton Salisbury  Nc,,Salisbury,9.1,     Excellent  ,597,Booking.com,14954,Home2,14955,Priceline,14867,Free cancellation,Breakfast included,,Lower than hotel site
Holiday Inn Express & Suites Katy,Hotel,Katy,8.3,     Very good  ,1377,Booking.com,9002,Holiday Inn Express,9002,,,Free cancellation,Breakfast included,,Our lowest price
Hampton Inn & Suites Artesia,Hotel,Artesia,9.1,     Excellent  ,1697,Booking.com,14999,Hampton Inn,14978,Priceline,14680,Free cancellation,Breakfast included,Breakfast included,
Holiday Inn Express & Suites Glendive,Hotel,Glendive,8.9,     Excellent  ,1234,Booking.com,11230,Holiday Inn Express,11229,Holiday Inn Express,11229,Free cancellation,Breakfast included,Breakfast included,
The Inn At Mountain View,,Greensburg,7.9,     Good  ,2333,Booking.com,7341,Hotels.com,8428,,,Free cancellation,Breakfast included,,Our lowest price
Valentine's Niobrara Lodge,,Valentine,8.2,     Very good  ,1151,Booking.com,11093,Hotels.com,11589,Destinia,9012,Free cancellation,Breakfast included,Breakfast included,
Paragon Casino Resort,,Marksville,7.0 ,     ,1703,Booking.com,8532,Hotels.com,9619,,,Free cancellation,Breakfast included,,15%
Sun Mountain Lodge,,Winthrop,8.9,     Excellent  ,2572,Hotels.com,17529,Trip.com,17152,Trip.com,17152,Free cancellation,Breakfast included,,16%
Hampton Inn & Suites New Castle,Hotel,New Castle,8.6,     Excellent  ,1371,Booking.com,12585,Hampton Inn,12586,Hotels.com,12584,Free cancellation,Breakfast included,,Lower than hotel site
Super 8 Norton,Hotel,Norton,7.6,     Good  ,256,Booking.com,7318,Trip.com,7320,,,Free cancellation,Breakfast included,,Our lowest price
Hampton Inn Fond Du Lac,Hotel,Fond du Lac,9.1,     Excellent  ,785,Hotels.com,14737,Hampton Inn,14738,,,Free cancellation,Breakfast included,,Our lowest price
Hyatt Place Topeka,Hotel,Topeka,8.5,     Excellent  ,2551,Hotels.com,11136,Hyatt Hotels,11117,Hyatt Hotels,11117,Free cancellation,Breakfast included,Breakfast included,
Hampton Inn Black Mountain,,Black Mountain,9.5,     Excellent  ,1771,Booking.com,11192,Hampton Inn,10521,Hotels.com,10520,Free cancellation,Breakfast included,Breakfast included,25%
Tru By Hilton Manteca  Ca,,Manteca,9,     Excellent  ,232,Booking.com,13031,Tru by Hilton,12905,Hotels.com,12881,Free cancellation,Breakfast included,Breakfast included,
Best Western Driftwood Inn,Hotel,Idaho Falls,9,     Excellent  ,2651,Booking.com,9404,Trip.com,9406,ZenHotels.com,9403,Free cancellation,Breakfast included,,32%
La Quinta Inn & Suites Kingman,,Kingman,8.7,     Excellent  ,3204,Booking.com,15793,Hotels.com,15754,Agoda,15700,Free cancellation,Breakfast included,Pay at the property,
Hotel Woodstock Inn & Resort,Hotel,Woodstock,9.1,     Excellent  ,1049,Trip.com,33340,Hotels.com,39443,,,Free cancellation,Breakfast included,,22%
Home2 Suites By Hilton Bowling Green  Oh,,Bowling Green,8.6,     Excellent  ,154,Booking.com,10931,Hotels.com,10930,Hotels.com,10930,Free cancellation,Breakfast included,Breakfast included,
Fairfield Inn & Suites By Marriott Houston League City,Hotel,League City,9.1,     Excellent  ,1710,Booking.com,10158,Fairfield Inn,10157,Agoda,10067,Free cancellation,Breakfast included,,
La Quinta Inn & Suites Weatherford,Hotel,Weatherford,7.9,     Good  ,1706,Booking.com,11662,Hotels.com,11662,,,Free cancellation,Breakfast included,,Our lowest price
Microtel Inn & Suites By Wyndham Clarion,,Clarion,9.3,     Excellent  ,2513,Booking.com,8981,Hotels.com,8981,ZenHotels.com,8980,Free cancellation,Breakfast included,Breakfast included,
Quality Inn Rhinelander,Hotel,Rhinelander,7.5,     Good  ,414,Booking.com,9400,Trip.com,8463,Trip.com,8463,Free cancellation,Breakfast included,Breakfast included,
Fairfield Inn & Suites Athens,Hotel,Athens,9.3,     Excellent  ,1535,Booking.com,13073,Hotels.com,13102,,,Free cancellation,Breakfast included,Breakfast included,20%
Hotel Great Falls Inn,Hotel,Great Falls,8.8,     Excellent  ,2584,Booking.com,9632,Hotels.com,10158,Agoda,9631,Free cancellation,Breakfast included,Breakfast included,
Holiday Inn Express & Suites Hiawassee,Hotel,Hiawassee,7.9,     Good  ,1951,Booking.com,12908,Holiday Inn Express,12907,Holiday Inn Express,12907,Free cancellation,Breakfast included,Breakfast included,
Ramada Provo,,Provo,7.5,     Good  ,2731,Booking.com,9243,Hotels.com,9243,ZenHotels.com,9241,Free cancellation,Breakfast included,Breakfast included,
Courtyard Ames,,Ames,8.9,     Excellent  ,359,Hotels.com,14822,Booking.com,14822,Agoda,14821,Free cancellation,Breakfast included,,
Westcliff Lodge,Hotel,Hood River,9.1,     Excellent  ,2535,Booking.com,10845,Hotels.com,10846,,,Free cancellation,Breakfast included,Pay at the property,36%
Holiday Inn Express & Suites Gunnison,Hotel,Gunnison,8.9,     Excellent  ,1693,Booking.com,16723,Holiday Inn Express,16820,Priceline,16224,Free cancellation,Breakfast included,Breakfast included,17%
